DATE;TMED;VOL1
19.10.2011;1.6;242.1
20.10.2011;4.45;238.5
21.10.2011;5.6;240.5
22.10.2011;4.25;238
23.10.2011;3.65;233.9
24.10.2011;6.4;240.2
25.10.2011;2.3;269.5
26.10.2011;1.7;258.8
27.10.2011;2.7;242.8
28.10.2011;4.35;249
29.10.2011;4.2;250
30.10.2011;4.2;263
31.10.2011;4.75;247.4
01.11.2011;7.75;235.3
02.11.2011;7.1;231.6
03.11.2011;5.35;231.8
04.11.2011;5.95;233.6
05.11.2011;6.8;231
06.11.2011;0.1;255.7
07.11.2011;-5.1;264.3
08.11.2011;-0.15;259.1
09.11.2011;1.95;258
10.11.2011;-0.35;260.2
11.11.2011;-1.65;254.3
12.11.2011;0.1;254
13.11.2011;-0.1;248
14.11.2011;-0.25;267.5
15.11.2011;0.15;266.6
16.11.2011;-2.8;265
17.11.2011;-1.2;261.7
18.11.2011;0.35;254.9
19.11.2011;-0.2;254
20.11.2011;1.5;269.6
21.11.2011;-2.55;261
22.11.2011;-2.35;268.6
23.11.2011;-3.85;276.1
24.11.2011;-6.6;272.6
25.11.2011;-2.6;0
26.11.2011;0.45;263
27.11.2011;1.75;254.9
28.11.2011;4.1;249.5
29.11.2011;2.6;257
