time,deltap,dp,s_time,s_deltap,s_dp
3.6742,490.4,0.225611744,0.000279815,4.929,0.029043581
3.7614,491.48,0.242534394,0.000279815,4.9398,0.031549059
4.1115,493.07,0.242417392,0.000279815,4.9557,0.030341041
4.5494,495.59,0.245839322,0.000279815,4.9809,0.027551465
4.9867,497.97,0.273478096,0.000279815,5.0047,0.028764911
5.424,500.33,0.291029327,0.000279815,5.0283,0.031729584
5.8614,502.5,0.308049405,0.000279815,5.05,0.034756069
6.2997,504.71,0.315120593,0.000279815,5.0721,0.037838516
6.737,506.78,0.327355126,0.000279815,5.0928,0.033947187
7.1744,508.65,0.331956442,0.000279815,5.1115,0.031440826
8.049,512.2,0.349728494,0.000279815,5.147,0.029711911
8.9242,515.47,0.372931214,0.000279815,5.1797,0.028521976
9.7994,518.63,0.390957762,0.000279815,5.2113,0.032103378
10.675,521.58,0.406102074,0.000729815,5.2408,0.035807593
11.549,524.3,0.423010215,0.000729815,5.268,0.033094514
12.424,526.8,0.433347952,0.000729815,5.293,0.036381684
13.3,529.25,0.449039003,0.000729815,5.3175,0.031510455
14.174,531.55,0.461380484,0.000729815,5.3405,0.034310092
15.049,533.66,0.473170034,0.000729815,5.3616,0.037210791
15.924,535.74,0.479408246,0.000729815,5.3824,0.039369055
16.8,537.69,0.491148893,0.000729815,5.4019,0.039411026
17.674,539.48,0.499245542,0.000729815,5.4198,0.041330559
17.893,539.97,0.50053353,0.000729815,5.4247,0.041328069
17.995,540.14,0.500870348,0.000729815,5.4264,0.040045684
18.342,540.81,0.499712743,0.000729815,5.4331,0.03722344
18.688,541.44,0.496130492,0.000729815,5.4394,0.042296193
19.034,542.19,0.499269002,0.000729815,5.4469,0.040574885
19.381,542.86,0.500975652,0.000729815,5.4536,0.039020681
19.727,543.44,0.505535736,0.000729815,5.4594,0.036958642
20.072,544.07,0.504949635,0.000729815,5.4657,0.041601332
20.418,544.62,0.505995854,0.000729815,5.4712,0.038694126
20.765,545.2,0.508595446,0.000729815,5.477,0.037430905
21.111,545.81,0.508325991,0.000729815,5.4831,0.043442934
21.357,546.2,0.512109273,0.000729815,5.487,0.042638794
21.63,546.58,0.514226697,0.000729815,5.4908,0.041191617
21.976,547.11,0.516773314,0.000729815,5.4961,0.04078299
22.322,547.53,0.520602554,0.000729815,5.5003,0.04111802
22.668,548.1,0.517404748,0.000729815,5.506,0.041960779
23.014,548.64,0.517201252,0.000729815,5.5114,0.042291117
23.346,549.38,0.520712907,0.000729815,5.5188,0.040974298
23.532,549.44,0.52359772,0.000729815,5.5194,0.043133631
23.878,549.88,0.522750123,0.000729815,5.5238,0.042116716
24.225,550.42,0.512233047,0.000729815,5.5292,0.039340857
24.571,550.81,0.514261261,0.000729815,5.5331,0.041227964
24.916,551.3,0.51982299,0.000729815,5.538,0.041044302
25.262,551.72,0.518807999,0.000729815,5.5422,0.043002406
25.608,552.2,0.518020883,0.000729815,5.547,0.041611331
25.794,552.5,0.518296852,0.000729815,5.55,0.041609269
25.954,552.66,0.520859186,0.000729815,5.5516,0.043123856
